"indicator_name","year","avg_value"
"Electricity production from oil, gas and coal sources (% of total)",2017,"97.56"
"Electricity production from oil, gas and coal sources (% of total)",2018,"98.09"
"Electricity production from oil, gas and coal sources (% of total)",2019,"95.64"
"Electricity production from oil, gas and coal sources (% of total)",2020,"96.39"
"Electricity production from oil, gas and coal sources (% of total)",2021,"97.17"
"Electricity production from oil, gas and coal sources (% of total)",2022,"97.97"
"Energy use (kg of oil equivalent per capita)",1971,"398.44"
"Energy use (kg of oil equivalent per capita)",1972,"411.05"
"Energy use (kg of oil equivalent per capita)",1973,"430.95"
"Energy use (kg of oil equivalent per capita)",1974,"452.94"
"Energy use (kg of oil equivalent per capita)",1975,"527.49"
"Energy use (kg of oil equivalent per capita)",1976,"631.90"
"Energy use (kg of oil equivalent per capita)",1977,"632.13"
"Energy use (kg of oil equivalent per capita)",1978,"696.51"
"Energy use (kg of oil equivalent per capita)",1979,"804.12"
"Energy use (kg of oil equivalent per capita)",1980,"715.36"
